job_id,skill,error_type
3905372564,Computer Vision,False Negative (Regex)
3888972090,Machine Learning,False Negative (Regex)
3902861936,Computer Vision,False Negative (Regex)
3891074827,Cloud Computing,False Positive (Regex)
3885110725,Cloud Computing,False Positive (Regex)
3884807480,Computer Vision,False Negative (Regex)
3888943512,Computer Vision,False Negative (Regex)
3905253310,Computer Vision,False Negative (Regex)
3891005133,Computer Vision,False Negative (Regex)
3901939199,Cloud Computing,False Positive (Regex)
3886461848,Computer Vision,False Negative (Regex)
3902753238,Cloud Computing,False Positive (Regex)
3901397487,Computer Vision,False Negative (Regex)
3906223229,Computer Vision,False Negative (Regex)
3900941781,Machine Learning,False Negative (Regex)
3887101044,Computer Vision,False Negative (Regex)
3884823059,Computer Vision,False Negative (Regex)
3905863927,Computer Vision,False Negative (Regex)
3902736531,Machine Learning,False Negative (Regex)
3905875929,Cloud Computing,False Positive (Regex)
3905645184,Deep Learning,False Negative (Regex)
3903889097,Cloud Computing,False Positive (Regex)
3905627302,Computer Vision,False Negative (Regex)
3898167031,Computer Vision,False Negative (Regex)
3904429548,Computer Vision,False Negative (Regex)
3903839341,Computer Vision,False Negative (Regex)
3901343714,Computer Vision,False Negative (Regex)
3905308647,Cloud Computing,False Positive (Regex)
3904950129,Machine Learning,False Negative (Regex)
3901475838,Computer Vision,False Negative (Regex)
3884437568,Cloud Computing,False Positive (Regex)
3905828140,Cloud Computing,False Positive (Regex)
3902869112,Cloud Computing,False Positive (Regex)
3904718054,Machine Learning,False Negative (Regex)
3894475471,Computer Vision,False Negative (Regex)
