job_id,title,company_name,location,formatted_work_type,formatted_experience_level,extracted_skills,skill_count,extraction_method
921716,Marketing Coordinator,Corcoran Sawyer Smith,"Princeton, NJ",Full-time,,"['Adobe Illustrator', 'Adobe Photoshop', 'Marketing', 'Microsoft Office', 'Sales']",5,dictionary
3901947205,Supervisor/Manager-Part Time - Hamilton Place,Claire's,"Chattanooga, TN",Part-time,Mid-Senior level,"['Communication', 'Sales']",2,dictionary
3902364145,"Chief Financial Officer -Multi-Location- Industrial Services- Private Equity, 78802","Truenorth Executive Search, Inc.","Philadelphia, PA",Full-time,Executive,[],0,dictionary
3902745810,"Software engineer, intern",Watershed,San Francisco Bay Area,Internship,Internship,"['GCP', 'JavaScript', 'Node.js', 'PostgreSQL', 'React', 'TypeScript']",6,dictionary
3900965029,Sprinkler Inspection Service Manager,Marmic Fire & Safety Co.,"Charleston, South Carolina Metropolitan Area",Full-time,Mid-Senior level,['Leadership'],1,dictionary
3900986294,"Senior Director, Transplant Software & Solutions – Strategic Business Segment",Thermo Fisher Scientific,"Frederick, MD",Full-time,,"['Communication', 'Leadership', 'Marketing', 'Sales']",4,dictionary
3888024632,Seasonal Customer Service Representative - Remote,Talentify.io,United States,Temporary,Entry level,"['Communication', 'Customer Service', 'Microsoft Office']",3,dictionary
3887497644,Cultural Resources Technician,SWCA Environmental Consultants,"Bridgeville, PA",Temporary,,[],0,dictionary
3903840311,Service Technician,INSPYR Solutions,Greater Enid Area,Full-time,Entry level,['Communication'],1,dictionary
3885112210,Oracle Fusion Consultant,"Singareddy Info Tech, Inc",Washington DC-Baltimore Area,Contract,,"['Communication', 'Leadership', 'Project Management']",3,dictionary
3901939453,Part-time Accounting Specialist,Addison Group,"Chicago, IL",Part-time,Associate,['Excel'],1,dictionary
3903809977,LTC Picker I,"Baldor Specialty Foods, Inc.",New York City Metropolitan Area,Full-time,Entry level,[],0,dictionary
3888030104,Sales Manager,J. Galt,Miami-Fort Lauderdale Area,Full-time,Mid-Senior level,"['Communication', 'Marketing', 'Sales']",3,dictionary
3884431572,Primary Care Physician,UT Health San Antonio,"San Antonio, Texas Metropolitan Area",Full-time,Executive,[],0,dictionary
3904392574,"Therapist, LCSW",Family Health Centers of San Diego,San Diego Metropolitan Area,Full-time,Entry level,[],0,dictionary
3906254888,Valet,SP+ (SP Plus),"Washington, DC",Part-time,Entry level,[],0,dictionary
3901388926,Retail Store Manager,,"Newport, RI",Full-time,,"['Communication', 'Customer Service', 'Leadership', 'Marketing', 'Sales']",5,dictionary
3903806436,Learning Project Manager,Technology Ventures,"McLean, VA",Contract,Associate,['Marketing'],1,dictionary
3903812581,Senior Software Engineer in Test II (Aspire),Aspire Software,"Greater Jackson, MI Area",Full-time,Mid-Senior level,"['C#', 'Java', 'JavaScript', 'Leadership', 'Python', 'SQL', 'TypeScript']",7,dictionary
3903807800,Auto Glass Installation Technician Trainee,Safelite,"Oklahoma City, OK",Full-time,Internship,[],0,dictionary
3899523233,Business Internship,Aerotek,"Tempe, AZ",Internship,Internship,"['Communication', 'Excel', 'Microsoft Office']",3,dictionary
3901681184,Surgical Technologist-NC,WVU Medicine,"South Charleston, WV",Full-time,Mid-Senior level,[],0,dictionary
