raw,canonical
python,Python
python3,Python
python 3,Python
python programming,Python
python development,Python
java,Java
java programming,Java
c++,C++
cpp,C++
c plus plus,C++
c#,C#
c sharp,C#
javascript,JavaScript
js,JavaScript
javascript programming,JavaScript
typescript,TypeScript
ts,TypeScript
r,R
r programming,R
r language,R
sql,SQL
structured query language,SQL
sql server,SQL
sql database,SQL
mysql,MySQL
my sql,MySQL
postgresql,PostgreSQL
postgres,PostgreSQL
postgresql database,PostgreSQL
mongodb,MongoDB
mongo db,MongoDB
mongo,MongoDB
excel,Excel
ms excel,Excel
microsoft excel,Excel
power bi,Power BI
powerbi,Power BI
power-bi,Power BI
power bi desktop,Power BI
tableau,Tableau
tableau software,Tableau
pandas,Pandas
pandas library,Pandas
numpy,NumPy
numpy library,NumPy
scikit-learn,Scikit-learn
scikit learn,Scikit-learn
sklearn,Scikit-learn
tensorflow,TensorFlow
tensor flow,TensorFlow
pytorch,PyTorch
torch,PyTorch
machine learning,Machine Learning
ml,Machine Learning
machine-learning,Machine Learning
deep learning,Deep Learning
dl,Deep Learning
deep-learning,Deep Learning
natural language processing,Natural Language Processing
nlp,Natural Language Processing
computer vision,Computer Vision
cv,Computer Vision
data science,Data Science
data-science,Data Science
aws,AWS
amazon web services,AWS
azure,Azure
microsoft azure,Azure
gcp,GCP
google cloud platform,GCP
google cloud,GCP
docker,Docker
containerization,Docker
kubernetes,Kubernetes
k8s,Kubernetes
git,Git
github,Git
version control,Git
spark,Spark
apache spark,Spark
pyspark,Spark
hadoop,Hadoop
apache hadoop,Hadoop
react,React
react.js,React
reactjs,React
node.js,Node.js
node,Node.js
nodejs,Node.js
html,HTML
html5,HTML
css,CSS
css3,CSS
communication,Communication
communication skills,Communication
leadership,Leadership
leadership skills,Leadership
project management,Project Management
pmp,Project Management
project-management,Project Management
customer service,Customer Service
customer-service,Customer Service
sales,Sales
sales experience,Sales
marketing,Marketing
marketing experience,Marketing
adobe photoshop,Adobe Photoshop
photoshop,Adobe Photoshop
adobe illustrator,Adobe Illustrator
illustrator,Adobe Illustrator
microsoft office,Microsoft Office
ms office,Microsoft Office
office suite,Microsoft Office
